,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
1652,PM3524433,0097_0816,Hotel Madera,2016,In Compliance,1308 - 1310 NEW HAMPSHIRE AV NW,LHO WASHINGTON HOTEL TWO LLC,2,WASHINGTON,DC,20036,1963,Hotel,Hotel,60291,66390.0,48,120.3,121.5,208.9,209.0,585.8,8.8,4165.4,768844.8,53650.38473,38.90764051,-77.04575613,
1653,PM3524410,0067_0065,Hotel Palomar DC,2016,In Compliance,2121 P ST NW,SILVER P LLC,2,WASHINGTON,DC,20037,1965,Hotel,Hotel,249568,248450.0,47,115.5,116.1,210.1,208.8,2174.3,8.8,22685.0,3091763.2,181591.046,38.90982104,-77.0474154,
1654,PM4376628,1231_0143,georgetown washington dc inn llc,2016,In Compliance,1310 WISCONSIN AVE NW,GEORGETOWN WASHINGTON DC INN LLC,2,WASHINGTON,DC,20007,1961,Hotel,Hotel,58722,58722.0,13,86.1,86.5,210.2,210.6,475.8,8.1,3533.8,986299.9,16918.99991,38.90721329,-77.06356493,
1656,PM1331555,0248_0812,Hamilton Crowne Plaza Hotel,2016,In Compliance,1001 14TH ST NW,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2,WASHINGTON,DC,20005,1921,Hotel,Hotel,146425,222000.0,52,90.1,91.2,210.6,211.7,1821.2,8.2,13656.7,3610478.6,76894.80476,38.90292735,-77.03158979,
1679,PM3426697,2138_0812,Omni Shoreham Hotel,2016,In Compliance,2500 CALVERT ST NW,OMNI SHOREHAM CORPORATION,3,WASHINGTON,DC,20008,1931,Hotel,Hotel,791548,953000.0,38,96.1,96.2,218.4,217.1,8172.3,8.6,52970.1,15701096.7,376620.0277,38.92263332,-77.05366670000001,
1687,PM3993869,0165_0029,Club Quarters Washington DC,2016,In Compliance,0839 17TH ST NW,CQ DC ACQUISITION LLC,2,WASHINGTON,DC,20006,1926,Hotel,Hotel,59746,59746.0,60,93.3,93.4,219.6,217.3,510.2,8.5,3654.6,1019041.2,20991.021569999997,38.90118696,-77.0391062,
1691,PM3685602,0377_0846,Courtyard Marriott Convention Center,2016,In Compliance,0900 - 0908 F ST NW,900 F STREET ASSOCIATES LLC,2,WASHINGTON,DC,20004,1891,Hotel,Hotel,128772,122548.0,42,83.0,82.8,220.4,218.2,1021.1,8.3,8434.9,2288957.7,23627.029730000002,38.89707374,-77.02432854,
1703,PM3568865,0016_0884,The River Inn,2016,In Compliance,0924 25TH ST NW,ALAMAC INC,2,WASHINGTON,DC,20037,1957,Other,Hotel,85052,76179.0,42,123.5,122.1,224.0,219.6,711.3,9.3,6232.2,1007960.3,59658.849089999996,38.90143136,-77.05371415,
1712,PM3680559,0628_0893,Washington Court Hotel on Capitol Hill,2016,In Compliance,0525 NEW JERSEY AV NW,OPERATING ENGINEERS FUND,6,WASHINGTON,DC,20001,1984,Hotel,Hotel,275396,275396.0,41,90.5,91.1,227.6,228.2,2399.0,8.7,23297.6,5119416.2,74532.3937,38.89681703,-77.01110078,
1714,PM3987783,0628_0174,Washington DC PPH,2016,In Compliance,0520 NORTH CAPITOL ST NW,PHOENIX PARK HOTEL OPERATING LLC,6,WASHINGTON,DC,20001,1927,Hotel,Hotel,55820,100000.0,55,98.5,99.4,229.4,228.5,894.3,8.9,5220.4,1766465.0,38235.35585,38.89719164,-77.00948037,
1732,PM4175586,0370_0848,337Z9 Marriott Marquis Washington DC,2016,In Compliance,0901 MASSACHUSETTS AV,WASHINGTON CONVENTION AND SPORTS AUTHORITY,2,WASHINGTON,DC,20001,2013,Hotel,Hotel,1262010,1081471.7,24,98.8,99.6,236.3,237.1,9898.0,9.2,38388.0,20091967.4,383379.9715,38.90358778,-77.02473174,
1737,PM4475462,0214_0860,Westin DC,2016,In Compliance,1400 M ST NW,DIAMONDROCK DC M STREET OWNER LLC,2,WASHINGTON,DC,20005,1982,Hotel,Hotel,430128,330100.0,28,113.8,116.1,238.6,241.0,3153.8,9.6,8113.0,5511706.4,187736.0011,38.90532359,-77.03343838,
1753,PM3408948,0198_0039,Capital Hilton,2016,In Compliance,1001 16TH ST NW,CHH CAPITAL HOTEL PARTNERS LP,2,WASHINGTON,DC,20036,1944,Hotel,Hotel,1050362,625233.0,18,125.4,126.3,252.3,252.2,6386.3,10.2,43965.0,10576086.7,423237.9876,38.90312968,-77.03593506,
1759,PM3987335,4373_0008,Days Inn Gateway,2016,In Compliance,2700 NEW YORK AVE NE,T&L HOSPITALITY INC,5,WASHINGTON,DC,20002,1966,Hotel,Hotel,95331,95331.0,99,115.4,116.7,255.2,257.1,960.6,10.1,16152.7,1791395.0,48881.73098,38.91798465,-76.97060177,
1760,PM3351531,2132_0852,337w0-Washington DC Marriott Wardm,2016,In Compliance,2700  WOODLEY RD NW,WOODLEY DC RESIDENTIAL LLC,3,WASHINGTON,DC,20008,2014,Hotel,Hotel,280000,1300000.0,24,128.6,129.4,256.6,256.2,13587.8,10.5,74300.0,22175384.8,891939.027,38.925135499999996,-77.05572962,
1762,PM3641710,0322_0813,Hotel Harrington,2016,In Compliance,0430 11TH ST NW,HARRINGTON HOTEL COMPANY INC,2,WASHINGTON,DC,20004,1914,Hotel,Hotel,100484,144799.0,31,146.0,146.6,257.2,253.7,1566.0,10.8,10361.4,2109657.0,139427.5181,38.89597172,-77.02726669,
1764,PM2798092,0299_0831,Mandarin Oriental Hotel,2016,In Compliance,1330 MARYLAND AVE SW,PORTALS HOTEL SITE LLC,6,WASHINGTON,DC,20024,2003,Hotel,Hotel,294037,512051.0,24,116.9,117.2,262.5,261.3,5286.2,10.3,28190.7,10035656.5,255934.0271,38.88360956,-77.03045117,
1767,PM4376167,0371_0824,Henley Park Hotel,2016,In Compliance,0926 MASSACHUSETTS AV,TUDOR LP,2,WASHINGTON,DC,20001,1918,Hotel,Hotel,59425,59425.0,8,125.8,126.6,264.3,261.4,628.6,10.6,4983.3,1101969.5,37163.5205,38.90315472,-77.02571048,
1771,PM3487836,0343_0023,Embassy Suite Convention Center Hotel,2016,In Compliance,1000 K ST NW,1000 K LLC,2,WASHINGTON,DC,20001,2005,Hotel,Hotel,227934,266537.0,23,120.5,122.1,266.8,266.9,2807.1,10.5,16964.1,5240037.8,142476.8201,38.90225132,-77.02620603,
1783,PM3830279,0630_0069,The Liaison Capitol Hill,2016,In Compliance,415 NEW JERSEY AVE NW,I&G CAPITOL INC,6,WASHINGTON,DC,20001,1969,Hotel,Hotel,259770,180925.0,36,153.4,154.6,281.8,280.8,2117.6,11.7,13111.2,3062315.1,173087.2098,38.89539744,-77.01068603,
1786,PM1221898,1195_0030,"Four Seasons Washington, DC",2016,In Compliance,2800 PENNSYLVANIA AV NW,SHC WASHINGTON LLC,2,WASHINGTON,DC,20007,1979,Hotel,Hotel,459534,459534.0,20,141.9,144.4,287.1,289.7,5332.6,11.6,31161.1,8895067.0,348687.4199,38.90499666,-77.05724596,
