Primary_Property_Type_EPA_Calculated,Weather_Normalized_Site_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e
Multifamily Housing,2.3,5.4,21.2
Multifamily Housing,3.6,8.1,72.8
Non-Refrigerated Warehouse,4.4,13.9,24.8
Non-Refrigerated Warehouse,10.8,15.8,45.8
Residence Hall/Dormitory,14.6,15.4,62.1
Multifamily Housing,11.3,18.3,26.5
Multifamily Housing,9.2,24,49.3
Non-Refrigerated Warehouse,12.7,28,102.3
Multifamily Housing,12.8,27.9,73
K-12 School,12.2,31.3,164.8
K-12 School,10,31.4,189.2
Non-Refrigerated Warehouse,10.6,33.1,119.4
Multifamily Housing,11.3,35.4,127.5
Office,18.8,37.3,97
Multifamily Housing,13.2,41.4,477.2
Multifamily Housing,18.2,41.1,104.3
Multifamily Housing,32.3,43.2,100.6
Multifamily Housing,17.7,42.5,139.3
Multifamily Housing,27.3,44.5,200.5
Multifamily Housing,25.5,46.2,255.3
Multifamily Housing,18.8,43.1,128.4
Multifamily Housing,23.1,46.3,261
Multifamily Housing,17.3,46.1,712.8
Office,14.8,46.4,780
Multifamily Housing,28.7,50.4,465.3
Multifamily Housing,18.9,51.8,145.6
Residence Hall/Dormitory,22.2,53.5,195.5
Multifamily Housing,40.6,53.9,122.3
Multifamily Housing,20.2,53.3,484
Multifamily Housing,38.3,53.8,480.4
Multifamily Housing,39.3,57.1,561
Multifamily Housing,18.4,57.6,213.1
Multifamily Housing,44.1,60.4,215.7
Office,17.8,55.8,145.4
Multifamily Housing,37.7,58.6,304.8
Multifamily Housing,44.9,60.6,128.4
Multifamily Housing,18.2,55.6,108.5
Multifamily Housing,34.2,56.8,639.5
Office,24.3,59.3,161.7
Multifamily Housing,24.6,58.4,120.1
Multifamily Housing,21.3,55.9,183.1
Non-Refrigerated Warehouse,27.5,61.1,542
K-12 School,35,60.2,187.1
Multifamily Housing,48.3,65.6,157.6
Non-Refrigerated Warehouse,34.4,64.9,138.5
Multifamily Housing,28.4,63.3,146.2
Multifamily Housing,20.9,62.9,127.8
K-12 School,34.6,62.2,169.1
Multifamily Housing,21.8,68.4,120.4
Multifamily Housing,22.5,63.8,664.9
Multifamily Housing,43.6,68,141.3
Multifamily Housing,38.7,65,1146.6
Multifamily Housing,42.7,68.4,141.1
Multifamily Housing,24.7,65.8,548.9
Multifamily Housing,33.7,65.5,361.7
Multifamily Housing,44,68.8,173
Multifamily Housing,51.1,71.2,352.5
Non-Refrigerated Warehouse,37.2,71.1,239.6
Multifamily Housing,21.6,67.2,803.3
Multifamily Housing,37.5,68.1,179.3
Multifamily Housing,48.5,71.6,161.2
Office,22.3,69.9,272.7
Multifamily Housing,55.5,75.9,172.3
Worship Facility,42.8,73.9,234.3
Multifamily Housing,28.5,74.9,1079.6
Multifamily Housing,51.6,78.4,388.6
Multifamily Housing,23.8,74.6,105.4
Multifamily Housing,30.9,75.7,276.3
Multifamily Housing,36.2,76.1,265.9
Worship Facility,23.3,73.1,139.7
Office,24.1,75.6,833.5
Multifamily Housing,34.6,80.1,496.4
Residence Hall/Dormitory,25,78.5,208.1
Multifamily Housing,40.4,79.9,196.7
Multifamily Housing,47.7,81.2,1133.9
Multifamily Housing,50.4,82.5,282.4
Multifamily Housing,57.7,84.4,345.7
Multifamily Housing,57.2,85.2,286.3
Mixed Use Property,26,81.6,265.5
Multifamily Housing,33.8,80,1173.2
Multifamily Housing,59.2,84.5,208.4
Multifamily Housing,32,83.3,389.7
Multifamily Housing,40.3,80.1,1386.7
Multifamily Housing,25.9,77.1,149.3
Multifamily Housing,72,81.5,283.8
Multifamily Housing,45.1,82.2,1209.1
Multifamily Housing,29.8,81.2,485.3
Multifamily Housing,42.9,83.6,174.2
Multifamily Housing,57.4,89.2,1014.6
Multifamily Housing,33.7,83.5,407.1
Multifamily Housing,57.5,87.8,519.4
Multifamily Housing,39.8,84.2,189.5
Multifamily Housing,35.5,84.2,1171.3
Office,26.8,83.9,276.3
Office,56.9,89.2,268.5
Multifamily Housing,51.9,89.3,977.9
Multifamily Housing,62.9,90.1,287.4
Multifamily Housing,27.1,84.4,1199.2
Multifamily Housing,37,85.1,898
Multifamily Housing,67.3,91.5,291.1
Multifamily Housing,50.4,87.1,700.4
Multifamily Housing,44.5,86,230.8
Multifamily Housing,46.7,87.3,1320.1
Multifamily Housing,49.1,88.1,260.9
Non-Refrigerated Warehouse,44.1,89.6,543.1
Multifamily Housing,70.3,93.8,200.1
Multifamily Housing,57.6,92.9,265.3
Multifamily Housing,61.8,92,3754.4
Multifamily Housing,51.7,90.9,603.3
Office,36.5,98,230.9
Multifamily Housing,67.3,93.9,436.1
Multifamily Housing,54.1,91.8,947.5
Multifamily Housing,43.5,91.3,503.4
Multifamily Housing,61.8,93.5,241.3
Multifamily Housing,47,88.2,749.7
Multifamily Housing,47.8,92.1,462.2
Multifamily Housing,42.3,91,340.5
Multifamily Housing,28.7,90.1,1223.6
Multifamily Housing,64,95.8,306.2
Multifamily Housing,27.5,86.5,578.2
Multifamily Housing,27.6,86.6,581.2
Multifamily Housing,41.6,93.9,680.3
Multifamily Housing,61.1,95.9,333.5
Multifamily Housing,63.5,94.7,275.3
Multifamily Housing,53.9,94.2,293.3
Multifamily Housing,57.5,96.1,382.1
Multifamily Housing,52.5,90.6,528.6
Multifamily Housing,44.9,90.4,864.8
Multifamily Housing,48.5,94.4,1160.4
Multifamily Housing,51.9,94.7,319.2
Multifamily Housing,37.6,92.8,351.1
Multifamily Housing,29.6,93,292.2
Multifamily Housing,38.6,95.4,928.9
Multifamily Housing,61,98.2,249.6
Multifamily Housing,39.2,96.1,242
K-12 School,33.7,93.7,245.3
Multifamily Housing,33.4,94.4,460.8
Multifamily Housing,36.1,95.5,950.6
Multifamily Housing,50.6,97.9,678.6
Multifamily Housing,63.3,97.4,427.8
Multifamily Housing,63.6,98.7,458.1
Multifamily Housing,70.4,99.5,301.6
Multifamily Housing,48.7,95.7,207.4
Multifamily Housing,69.5,100.9,269.3
Multifamily Housing,39.9,97.3,293.5
Multifamily Housing,32.4,96,1159.6
Multifamily Housing,36.7,96.7,473.3
Multifamily Housing,34.7,97.4,819.5
Multifamily Housing,61.5,99.4,297
Multifamily Housing,33.8,97,276.8
Multifamily Housing,67.3,101.2,243.8
Multifamily Housing,63.3,99.6,225
Multifamily Housing,67.5,102.1,843
Multifamily Housing,71.1,102.3,281.1
Multifamily Housing,30.9,97,897.5
Multifamily Housing,41.1,93.8,326.3
Multifamily Housing,41.9,98,283.7
Multifamily Housing,29.7,93.4,324.8
Office,31.2,97.9,267
Multifamily Housing,46.3,100.2,1497.9
Office,31.3,98.2,972.7
Multifamily Housing,73.2,105.8,750.9
Multifamily Housing,33.9,101.4,761.1
Multifamily Housing,65.9,103.3,230.2
Multifamily Housing,31.5,98.8,197.8
Hotel,59.3,100.9,1197.2
Multifamily Housing,37.9,99.6,1322.2
Multifamily Housing,66.6,103,386.4
Multifamily Housing,57.6,100.3,335.2
Multifamily Housing,54.1,100.8,834.2
Multifamily Housing,70.4,104.7,317.1
Multifamily Housing,43,103.9,838.4
Multifamily Housing,56.8,102.1,105.7
Retail Store,31.8,100,962.7
Multifamily Housing,52,101,628.8
Office,47.6,104.6,197.2
Multifamily Housing,58.1,104.1,1073
Multifamily Housing,64.6,105.1,499.9
Multifamily Housing,44.8,99,1674.6
Multifamily Housing,65.8,104.9,819.2
Multifamily Housing,64,101.2,748.6
Multifamily Housing,44.6,103.6,345.4
Multifamily Housing,67,106.1,508.9
Multifamily Housing,58.5,106,313.6
Multifamily Housing,53.6,104.6,461
Multifamily Housing,71,107.8,276
Multifamily Housing,57.7,103.7,287.8
Multifamily Housing,32.7,102.6,808.2
Multifamily Housing,69.5,105.7,429.3
Multifamily Housing,57.3,105,2938.1
Multifamily Housing,69.4,107.7,260.8
Multifamily Housing,77.9,110.2,370.4
Multifamily Housing,62.5,107.4,355.7
Multifamily Housing,36,103.8,1252.8
Multifamily Housing,71.3,110,2009.6
Multifamily Housing,41.9,104.8,886.8
Multifamily Housing,41.1,108.2,310.6
Multifamily Housing,45.8,111.5,286.1
Multifamily Housing,63.5,103.8,300.4
Multifamily Housing,44.4,105.4,1465.8
Multifamily Housing,64.3,107.5,437.2
Multifamily Housing,55.3,106.1,1164.7
Worship Facility,54.2,106.3,242.5
Multifamily Housing,77.8,112.4,417.3
Multifamily Housing,66.5,110.6,122.6
Multifamily Housing,43.5,107,821.2
Office,33.6,105.5,1581.3
Multifamily Housing,65.5,108.8,277.4
Multifamily Housing,34.9,105.9,250.4
Multifamily Housing,34.9,109.7,290.6
Multifamily Housing,66.6,110.7,697.3
Multifamily Housing,47.5,108.9,223.2
Multifamily Housing,43.9,110.6,591.7
Multifamily Housing,65.1,112.5,1075.2
Multifamily Housing,66.9,111.8,302.2
Multifamily Housing,62.4,110.8,556.7
Multifamily Housing,59.9,110.5,423.1
Residence Hall/Dormitory,56.9,109.4,295.3
Multifamily Housing,54.3,110.4,379
Office,34.8,109.4,1828.5
Multifamily Housing,46.7,108.1,1129.3
Multifamily Housing,43.2,109.5,1644.5
Multifamily Housing,48.2,111.9,277.9
Multifamily Housing,35.5,109.8,2185.9
K-12 School,47.9,109.4,336.6
Multifamily Housing,65.1,113,432.2
Multifamily Housing,35.2,110.4,508.5
Multifamily Housing,43.2,112.7,399.1
Multifamily Housing,67.2,113.8,295
Multifamily Housing,80.3,117.5,300
Multifamily Housing,35.5,111.6,1083.6
Hotel,48.7,112.9,265.3
Multifamily Housing,65.6,112.4,475.4
Multifamily Housing,36.5,111.2,1053.8
Multifamily Housing,38.6,112,357.6
Multifamily Housing,62.8,113.7,1336.4
Multifamily Housing,53.6,109,1787.4
Multifamily Housing,41.5,112.6,1495.2
Multifamily Housing,57.9,116.4,764.2
Multifamily Housing,64.1,116.9,304.1
Office,35.9,112.6,210.3
Office,38.3,113.3,867.8
Multifamily Housing,74.2,117.1,648
Multifamily Housing,71.8,117.7,237.6
Multifamily Housing,72.6,119.6,473.6
Multifamily Housing,65.2,114.2,4053.5
Multifamily Housing,38.8,113.3,380.2
Multifamily Housing,36.2,113.7,451.3
Multifamily Housing,36.3,113.8,236.7
Multifamily Housing,37.8,114.1,1299.3
Multifamily Housing,34.9,109.4,316.6
Multifamily Housing,62,117.9,857.4
Multifamily Housing,56.7,114.3,319.5
Multifamily Housing,58,116.1,1006.8
Multifamily Housing,50.6,114.4,1696.8
Multifamily Housing,45.8,115.5,617.9
Office,45.9,116.7,678.1
Multifamily Housing,51.5,113.7,416.6
Office,46.5,115.6,374.3
Residence Hall/Dormitory,36.7,115.3,1038.8
Multifamily Housing,73.5,119.8,455.8
Multifamily Housing,78,122.6,416.8
Multifamily Housing,73,119.6,634.5
Multifamily Housing,74.8,118.8,272
Multifamily Housing,81.1,115,972.3
Multifamily Housing,36.1,113.2,301.1
Office,37.4,117.4,490.6
Multifamily Housing,66.2,118.3,668.6
Multifamily Housing,84.8,123.2,363.5
Multifamily Housing,71.8,121.6,2287.9
Multifamily Housing,76.1,123,2280.5
Hotel,46.3,118.1,751.6
Office,42.6,118.7,344.9
Multifamily Housing,76.8,122.1,363.9
Multifamily Housing,78,119.5,553.2
Multifamily Housing,54.5,121.1,671.8
Multifamily Housing,69.5,120.6,2595.6
Multifamily Housing,88.8,127.4,655
Multifamily Housing,74.8,125.5,605.1
Multifamily Housing,37.8,118.8,1078.6
Multifamily Housing,65.5,120.7,936
Multifamily Housing,88.3,125.7,287.4
Office,37.9,119,1588.9
Office,43.2,117.4,344
Multifamily Housing,76.6,123.3,566.1
Multifamily Housing,43.5,119.7,909.7
Retail Store,53.9,123.3,668.5
Multifamily Housing,66.9,122.2,860.1
Multifamily Housing,75.3,122.7,638.6
Multifamily Housing,83.6,128.2,272.6
Office,53,120.4,1005.3
Multifamily Housing,42.8,120.1,457.2
Multifamily Housing,76.9,123.3,467.1
Multifamily Housing,53.6,122.2,1038.3
Multifamily Housing,49.6,121.7,1138.7
Multifamily Housing,45,121,1188
Office,49.9,121.5,1260.5
Multifamily Housing,67.7,124.8,2433.1
Residence Hall/Dormitory,49.5,122.2,1017.9
Office,38.7,121.5,991.8
Office,43.9,121.9,484.3
Office,44.4,122.2,411.3
Multifamily Housing,85.9,126.9,296.1
Multifamily Housing,79.5,126.1,403.9
Office,67.7,127.2,1132.6
Hotel,45.2,122.3,1255.8
Office,43.7,122.4,1659.7
Office,56.3,125.7,314
Multifamily Housing,84.6,128.2,369.4
Multifamily Housing,70.7,125.7,873.4
Office,39.2,123.2,1638.5
Multifamily Housing,67,126.1,380.8
Multifamily Housing,67.2,126,874.5
Multifamily Housing,69.8,124.5,358.5
Multifamily Housing,71.1,125.6,323.2
Multifamily Housing,68.3,126.2,1753.2
Multifamily Housing,81.2,126.2,568
Non-Refrigerated Warehouse,48.9,124.8,679.8
Multifamily Housing,76.1,126.4,336.9
Multifamily Housing,71.3,126.7,608.5
Multifamily Housing,39.5,124,1517.1
Multifamily Housing,40.2,126,939.4
Multifamily Housing,77.6,127.1,374.6
Office,42.8,124,1809.7
Multifamily Housing,46.5,118.5,2172.4
Multifamily Housing,75.1,127.5,313.2
Office,39.6,124.5,1344.8
Multifamily Housing,91.8,133.5,301.1
Multifamily Housing,42.3,125.1,1583.3
Multifamily Housing,78.6,132,2845.7
Multifamily Housing,38.3,120.2,370.2
Multifamily Housing,62.7,126.3,1169.3
Multifamily Housing,75.5,128.8,340.8
Multifamily Housing,74.1,129.1,1486.8
Multifamily Housing,94.3,131.8,339.8
Multifamily Housing,66.9,124.6,307
Residence Hall/Dormitory,68.4,125.6,567.6
Office,42.8,121.8,203.9
Multifamily Housing,95.2,134.6,505.5
Multifamily Housing,86,132,335.7
Multifamily Housing,51,127,1687.1
Office,40.3,126.4,914.1
Multifamily Housing,74.1,128.7,839.4
Multifamily Housing,59.4,130.8,1293.5
Multifamily Housing,92.6,134,398.3
Residence Hall/Dormitory,76.7,131.8,311.1
Hotel,62.7,125.9,685.3
Hotel,51.6,127.7,262
Office,41.3,129.5,1043.2
Multifamily Housing,39.4,123.7,848.1
Multifamily Housing,82.7,131.6,498.8
Office,41,128.6,1538.9
Multifamily Housing,74.4,131.6,2871.2
Multifamily Housing,105,136.7,1055.9
Multifamily Housing,84.3,135.1,2194.8
Multifamily Housing,55.9,129.7,1704.9
Multifamily Housing,41.6,130.7,2110.8
Multifamily Housing,101,136.3,320.8
Office,41.9,131.6,2477.6
K-12 School,61.5,132.2,1721
Multifamily Housing,76.2,134.5,1369.4
Multifamily Housing,74.6,134.3,1843.9
Multifamily Housing,76.2,134.3,299.5
Multifamily Housing,46.6,132.5,1210.9
Office,44.8,131.5,611.2
Office,41.9,131.6,1222.1
Office,45.6,134.2,2407
Hotel,54.2,131.9,589.2
Multifamily Housing,59.6,129.7,1188.4
Multifamily Housing,43.4,132.5,1251.2
Multifamily Housing,42.2,132.4,1953.9
Residence Hall/Dormitory,93,142.4,403.5
Office,42.2,132.6,1019.2
Multifamily Housing,52.8,131.3,1365.1
Multifamily Housing,79.1,135.7,4035
Office,41.5,130.3,350
Multifamily Housing,77.7,135.8,442.8
Office,44.5,132.6,1676
Office,44.2,135,1524.3
K-12 School,71.5,138.5,453.8
Multifamily Housing,42.5,133.5,377.2
Worship Facility,67.4,136.6,201
Multifamily Housing,42.8,134.3,597.6
Multifamily Housing,82.8,137.5,477.3
Multifamily Housing,80.4,139.5,1095.3
Office,56.6,136.4,482.4
Residence Hall/Dormitory,42.9,134.8,661.1
Multifamily Housing,112.9,142.3,965.7
Residence Hall/Dormitory,84.3,142.6,340.8
Multifamily Housing,80.6,139,279.5
Office,43.5,135.8,1509
Office,44.7,140.2,927.4
Non-Refrigerated Warehouse,69,141.7,365.6
Office,43.5,135.5,1171.9
Office,43.6,136.7,777.5
Multifamily Housing,50.7,138.4,655.9
Office,44.5,139.7,302.7
Hotel,60.6,140.7,516.6
Multifamily Housing,95.9,144.2,343
Office,50.2,137.3,1156.3
Office,43.8,137.4,744.7
Office,43.8,137.6,813.6
Multifamily Housing,84.8,143.5,1723.9
Office,43,135.1,1724.1
Multifamily Housing,71,138.9,396.8
Multifamily Housing,58,138.5,547.5
Multifamily Housing,43.9,138,390
Office,44,138.1,1008
Hotel,58,138.3,1183.2
Multifamily Housing,80.8,142.7,1862.4
Office,44.1,138.5,1695.5
K-12 School,63.1,141.7,565.8
Office,45.6,141,997.3
Office,60.6,140.5,1742.6
Office,44.3,139.1,1687.9
Multifamily Housing,78.1,141.7,5545.8
Multifamily Housing,60,138.1,1230.3
Office,63.6,141.5,342.7
Office,60,141.5,928.5
Office,44.3,139.2,653.9
Multifamily Housing,82.2,139.9,477.1
Multifamily Housing,69.2,138,306.7
Office,45.1,141.7,613.6
Office,45.4,142.7,421.3
Multifamily Housing,109.6,149.2,516.9
Office,45.7,143.5,1021.4
Multifamily Housing,56.7,142.2,1419.8
Multifamily Housing,54.3,143.3,577.5
Multifamily Housing,103.9,150,1006
Hotel,64.9,137.5,478.4
Office,46.6,140.6,1483.3
Office,46.4,145.8,2143.9
Distribution Center,76.2,150.7,1166
Residence Hall/Dormitory,53.7,139,736.2
Worship Facility,66.7,146.8,575.2
Office,47,142.6,1715
Office,56.6,142.3,579.1
Residence Hall/Dormitory,65.5,143.9,387.1
Multifamily Housing,91.4,148,718.6
Office,46.4,145.6,1238.1
Multifamily Housing,68.1,145,1550.4
Office,58.6,143.8,416.9
Hotel,68.6,143.5,3970.9
Office,45.7,143.4,633.2
Multifamily Housing,88.5,144.2,398.9
Office,45.8,143.7,1809.3
Multifamily Housing,85.4,140.1,844.2
Multifamily Housing,84.1,147.2,609.5
Multifamily Housing,90.4,150.4,1434.6
Office,45.9,144,1825
Multifamily Housing,95,149.1,962
Residence Hall/Dormitory,70,148.2,724.2
Worship Facility,66,147.4,374.7
Office,59.1,145.2,839.5
Office,47.2,145.4,2074
Multifamily Housing,88.4,147.3,384.7
Office,71.2,150.8,653.5
Multifamily Housing,76.8,152.5,656.3
Office,55,148.7,584.7
Office,49.3,154.7,3126.8
Office,46.8,147.1,434.5
Office,62.7,149.6,2237.6
Multifamily Housing,79.7,151,472.1
Multifamily Housing,58.4,148.2,657.6
Multifamily Housing,89.3,151.2,611.5
Multifamily Housing,77.3,151.8,1354.9
Office,67.5,148.6,356.2
Office,49.3,147.3,470.8
Office,56.2,148.2,394.2
Multifamily Housing,50.1,149.8,430
K-12 School,70.7,151.6,349.6
Multifamily Housing,47.5,149,453.9
Office,47.5,149.1,1109.6
Office,47.5,149.1,2334.3
Office,58.4,152.7,1931.9
Office,55.7,152.9,404.6
Multifamily Housing,91.3,157.2,535.5
Mixed Use Property,50.6,149.2,775.2
Office,48.7,149.4,1127.6
Office,71.8,151.8,705.5
Multifamily Housing,89.3,155.4,1864.8
Office,54.2,150.4,665.8
Office,48.1,151.1,1100.9
Office,56.4,149.1,1135.4
Worship Facility,75.9,154,325.3
Multifamily Housing,96.2,157.8,1404.3
Office,47.9,150.5,1945.8
Office,48,150.6,2078.4
Multifamily Housing,93.1,151.6,2634.3
Multifamily Housing,68.3,148.3,323.1
Residence Hall/Dormitory,71.8,155.4,3328.5
Non-Refrigerated Warehouse,48,150.8,285.1
Office,50.4,155.7,1534.3
Office,48.9,153.5,1346.3
Office,48.1,151.1,1327.9
Office,48.8,152.7,3108.5
Office,49.2,154.4,1151.8
Office,48.2,151.4,308.6
Office,54.9,153.6,1910.5
Office,59.8,156.2,4119.7
Office,48.5,152.3,2185.5
Medical Office,57.4,151.9,847.5
Multifamily Housing,77,151.4,875.6
Office,64.8,154.4,1111.3
Office,48.7,152.8,1030.9
Multifamily Housing,117.6,162.2,449.2
Office,48.7,152.9,1055
Multifamily Housing,61.9,151.4,1275.1
Office,48.7,153.1,1472.2
Office,58.1,154.1,421.3
Office,48.9,153.4,2538.8
Multifamily Housing,48.9,153.7,939.7
Office,58.1,153.2,1138.1
Multifamily Housing,122.8,167.5,816.8
Office,49.1,154.1,1525.1
Multifamily Housing,133.6,167.6,171.1
Multifamily Housing,53.7,154.9,826.4
Multifamily Housing,94.8,157.5,1077.3
K-12 School,65.7,157.1,576.6
Office,50.2,157.6,974.1
Office,58.6,155.4,696
K-12 School,103.6,163.8,386.9
Multifamily Housing,100.9,163.2,2278.1
Office,51.1,160.4,732.3
Multifamily Housing,102.7,163.6,545.3
Multifamily Housing,87.4,159.2,1145.1
Office,49.6,155.7,595.3
Hotel,91.3,159.3,729.2
Office,65.8,157.5,784
Office,49.7,155.9,491.5
Office,50.3,157.9,2282.8
Multifamily Housing,89.7,155.2,326.5
Hotel,51.5,161.7,421.1
Multifamily Housing,96.3,163.3,987.8
Office,50.1,157.3,498
Residence Hall/Dormitory,70,157.5,950.6
Office,58.9,156.5,912.4
Multifamily Housing,66,156.7,588.1
Multifamily Housing,88.6,162.7,303.7
Office,63.5,155.6,888.6
Office,50.8,159.7,3321.7
Office,50.4,158.2,4302.3
K-12 School,57.3,163.9,423.1
Office,50.5,158.4,1299.1
Office,59.5,157.9,914.4
Multifamily Housing,105.2,166.6,390.6
Financial Office,62.8,160.4,842.1
Office,64.8,160.2,1849.7
Office,65.8,158.9,1122.3
Office,51.5,161.7,1010.2
Multifamily Housing,109.4,167.1,914.3
Office,51.6,162,542.5
Office,52.5,159.7,785.2
Office,73.4,162.8,710.2
Multifamily Housing,90.7,161.8,610.5
Office,65.8,161.4,1306
Office,74,162.6,687.2
Office,51.2,160.7,1827.5
Office,67.2,161.6,484.3
Office,51.3,161,1557.9
Office,51.8,162.7,3548.6
Multifamily Housing,87.4,163.7,405.9
Hotel,75.7,162.9,611
Office,66.1,163.5,1525.2
Multifamily Housing,85.5,166,2015.8
Office,56,161,600.8
Office,57.1,161.8,2077.1
Office,51.6,161.9,2969.4
Hotel,74.1,162.5,3738.9
Office,50.5,158.5,1350.8
Hotel,65,165.4,669.3
Office,51.8,162.5,1635.3
Office,55.3,163.3,1860.8
Office,51.9,163,1378.7
Office,53,166.5,1468.7
Office,52.1,163.5,864.6
Office,52.1,163.5,2514.5
Office,52.6,165.2,1086.6
Residence Hall/Dormitory,103.3,172.5,354.4
Office,52.1,163.7,895
Office,70.2,165.3,1121.7
Hotel,67.3,165.2,2759.3
Office,53.8,168.8,2321.3
Multifamily Housing,97.4,169.2,2567.3
Residence Hall/Dormitory,70.5,162.2,432.9
Office,54,169.6,636.5
Office,67.7,166.1,317.1
Multifamily Housing,95.1,170.9,704.9
Multifamily Housing,105.3,173.2,1899.7
Office,52.6,165.3,1717.9
Office,53.4,167.8,1697.8
Hotel,90.2,165.1,1278.2
Hotel,71.7,166.2,453.8
Worship Facility,54.5,164.6,296.1
Multifamily Housing,72.3,163.4,367.9
Office,52.8,165.9,1839
Office,60.7,166.1,9539.4
Office,52.9,166,362.8
Office,52.9,166.2,693
Multifamily Housing,55.6,174.7,104.3
Office,53.2,166.4,705.3
Office,62.4,171.4,2085.1
Office,75.3,173.1,846.1
Office,63.6,165.9,515.2
Office,63.2,168.4,1407.8
Residence Hall/Dormitory,76.2,169.7,451.7
Multifamily Housing,94.4,171.8,1392
Multifamily Housing,104.8,175.2,582.1
Multifamily Housing,101.2,172.5,784.4
Multifamily Housing,84.7,166.9,803.4
Office,61,170.7,2295.6
Office,55.7,172.5,1743.5
Office,58.7,166.1,1558.1
Office,54.7,171.7,640.4
Office,53.7,168,953.2
Office,75.2,172,2031.5
Office,53.8,169,2491.8
Office,62,168.5,2015.6
Medical Office,55.3,173.7,1042.6
Hotel,87.4,169.7,688.5
Office,67.3,170.4,1340
Office,67.4,167.3,428.9
Office,54,169.7,1553.6
Hotel,67.6,170.7,4514.5
Office,54.3,170.4,1509
Office,55.2,173.2,2565.1
Multifamily Housing,97.3,173.2,541.1
Office,76.9,177.6,2604.3
Office,55,172.8,1654.7
Office,54.4,170.9,2536.5
Office,56,175.7,1253.4
Office,59.7,171.6,2110.2
Office,74,174.6,436
Office,55.4,174,1425.1
Distribution Center,73.9,169.6,564.4
Office,61.4,171.8,880.6
Office,56.6,177.9,873.6
Office,54.2,170.2,1942.6
Office,67.9,170.9,698.6
Office,54.9,172.3,2385.4
Multifamily Housing,52.7,165.4,432.5
Multifamily Housing,110.8,180.3,1283.7
Multifamily Housing,63.8,173.7,1490.4
Office,55.7,175,1388.5
Office,55.9,175.6,8230.5
Office,55.3,173.7,805.7
Office,55.4,173.8,1955.7
Retail Store,68.8,172.4,831.1
Office,56.1,174,2691.6
Hotel,65.5,177.4,1022
Office,55.5,174.4,1055
Office,55.6,174.5,3351.5
Office,56.4,176.4,1124.5
Office,73.5,173.8,1108.1
K-12 School,84.7,180.3,505.4
Office,74.8,176.7,540.6
Office,57.9,181.8,618.8
Office,89.3,180.9,556.3
Office,56,176,2352.5
Office,57.5,180.5,2575.5
Multifamily Housing,110.5,181.8,1032.3
Residence Hall/Dormitory,83,175,683.2
Office,62.8,175.9,3296
Office,56.6,176,2675.1
Office,56.2,176.4,1225.5
Multifamily Housing,123.4,182.7,976
Office,56.2,176.5,841
Mixed Use Property,73.1,179.1,2785.3
Office,56.3,176.9,1937.9
Office,56.4,177,3328
Office,56,176,1553.8
Multifamily Housing,56.5,177.3,1294.1
Office,63.4,177.4,604.4
Office,57.7,181.2,1540.6
Office,56.6,177.8,1304.3
Office,56.6,177.9,343.7
Office,57.6,178.6,772.4
Office,58.1,182.4,2514.3
Office,65.4,179.6,1268.1
Office,56.9,178.7,3915.8
Hotel,73.4,179.8,4653.7
Office,64.8,178.3,10282.4
Multifamily Housing,109.4,189.3,1447.4
Office,59.6,180.5,4210.6
Office,79.7,181.8,800.7
Office,58.1,182.4,1550.6
Office,65.5,179.3,1189
Multifamily Housing,76.5,180.5,1529.4
Office,58.7,184.2,871
Office,57.5,180.7,1475.6
Retail Store,63.4,181.4,2906.6
Office,57.6,181,1561.3
Office,59.4,186.6,832
Office,57.9,181.8,1243.2
Office,60,182.6,712.1
Office,58.1,182.3,1117.8
Office,59.5,182.4,3352.2
Office,76,181.1,1461.5
Multifamily Housing,116.2,189.4,388.2
Office,58.2,182.7,3767.9
Hotel,82.3,186.4,1313.8
Office,59.1,185.5,1265.3
Hotel,89.1,185.4,2146
Office,58.9,183.4,2093.4
Office,58.4,183.5,745.9
Hotel,103.2,185.3,1947.6
Office,59.5,187,331.3
Office,76,187.5,1595
Hotel,79.1,186.5,616.7
Office,58.8,184.8,438.3
Office,59.7,187.5,783.7
Office,60.7,190.7,1179.5
Office,60.4,185.3,1305.8
Office,61.8,183.1,741.3
Office,77,187,493.9
Hotel,80.6,189.5,853.9
Office,60.2,188.9,1562.3
Office,59.5,186.8,1326.6
Multifamily Housing,115.5,193.9,176.3
Office,59.2,185.9,3980.1
Office,79.2,191.8,591.5
Hotel,87.1,189.5,864.4
Hotel,91.7,187.5,1618.5
Hotel,88.7,188.6,4561.4
Office,59.5,186.7,1806.2
Hotel,81.3,190.5,857.9
Office,60.5,189.9,811.7
Office,77.9,188.5,1540.5
Office,67.7,186.7,2022.4
Office,59.6,187.2,1118
Office,61.2,187.5,1335.1
Office,59.6,187.2,1805.9
Office,70.9,190,724.9
Multifamily Housing,80.9,192.5,539.9
Hotel,101.4,192,528.1
Office,60.2,189,1235.1
Multifamily Housing,113,193,465.9
Office,60.4,189.5,1596.6
Office,60.4,189.6,2302.5
Office,60.4,189.7,1029.2
Office,62.8,194,3765.6
Hotel,77.5,191.7,688.1
Office,68.9,191.8,1286.1
Office,89.3,193.3,304
Multifamily Housing,116.9,196.8,1555.9
Hotel,70.3,196.4,1472.8
Multifamily Housing,140.7,198,828.4
Multifamily Housing,89.9,193.7,462.9
Office,66.3,198.9,1887.8
